qId,year,number,questionType,stem,modelAnswer,tags,status,imageRequired,imageUrls
Q_H28_01,H28,1,essay,"【問題1】あなたが経験した土木工事の現場において、その現場状況から特に留意した安全管理に関して、次の〔設問1〕、〔設問2〕に答えなさい。
〔注意〕あなたが経験した工事でないことが判明した場合は失格となります。

〔設問1〕あなたが経験した土木工事に関し、次の事項について解答欄に明確に記述しなさい。
〔注意〕「経験した土木工事」は、あなたが工事請負者の技術者の場合は、あなたの所属会社が受注した工事内容について記述してください。したがって、あなたの所属会社が二次下請業者の場合は、発注者名は一次下請業者名となります。
なお、あなたの所属が発注機関の場合の発注者名は、所属機関名となります。
(1) 工事名
(2) 工事の内容
  1 発注者名
  2 工事場所
  3 工期
  4 主な工種
  5 施工量
(3) 工事現場における施工管理上のあなたの立場

〔設問2〕上記工事の現場状況から特に留意した安全管理に関し、次の事項について解答欄に具体的に記述しなさい。
ただし、交通誘導員の配置のみに関する記述は除く。
(1) 具体的な現場状況と特に留意した技術的課題
(2) 技術的課題を解決するために検討した項目と検討理由及び検討内容
(3) 上記検討の結果、現場で実施した対応処置とその評価","【解答例（参考）】
※この解答例は学習用の参考答案・採点観点です。公式解答ではありません。実際の受験指導や社内基準に合わせて調整してください。

この問題は経験記述を含む問題である。実際に担当した土木工事に置き換えて、次の骨子で答案を作る。

1. 工事概要
工事名、発注者名、工事場所、工期、主な工種、施工量、自分の立場を具体的に書く。

2. 技術的課題
現場条件から、安全管理上の技術的課題を1つに絞る。

3. 検討項目
施工方法、使用機械、材料、手順、計測・確認方法、協力会社との調整を具体化する。

4. 対応処置と評価
実施内容、確認記録、是正措置、結果を事実ベースでまとめる。","記述式,必須問題",published,,
Q_H28_02,H28,2,essay,"【問題　2】
建設発生土の現場利用に関する次の文章の□の(ｲ)〜(ﾎ)に当てはまる適切な語句を解答欄に
記述しなさい。

(1) 高含水比状態にある材料あるいは強度の不足するおそれのある材料を盛土材料として利用す
る場合，一般に天日乾燥などによる□(ｲ)処理が行われる。
天日乾燥などによる□(ｲ)処理が困難な場合，できるだけ場内で有効活用をするために，
固化材による安定処理が行われている。

(2) 一般に安定処理に用いられる固化材は，□(ﾛ)固化材や石灰・石灰系固化材であり，石
灰・石灰系固化材は改良対象土質の範囲が広く，粘性土で特にトラフィカビリティーの改良目
的とするときには，改良効果が早期に期待できる□(ﾊ)による安定処理が望ましい。

(3) 安定処理の施工上の留意点として，石灰・石灰系固化材の場合，白色粉末の石灰は作業中に
粉じんが発生すると，作業者のみならず近隣にも影響を与えるので，作業の際は風速，
□(ﾆ)に注意し，粉じんの発生を極力抑えるようにして，作業者はマスク，防じんメガネ
を使用する。
石灰・石灰系固化材と土との反応はかなり緩慢なため，十分な□(ﾎ)期間が必要である。","【解答例（参考）】
※この解答例は学習用の参考答案・採点観点です。公式解答ではありません。実際の受験指導や社内基準に合わせて調整してください。

H28 問題2 の記述答案は、設問で求められた個数を守り、次の形でまとめる。

採点観点:
- テーマ: 施工管理
- 施工条件、発生し得る不具合・災害、管理方法、確認記録、是正措置を具体的に書く。
- 理由又は効果を添え、単なる用語列挙にしない。
- 問題文で除外された事項や、同一内容の重複記述は避ける。","記述式,必須問題,教師データ未整備",needs_model_answer,,
Q_H28_03,H28,3,essay,"【問題 3】
コンクリートの打込み・締固めに関する次の文章の□の（イ）〜（ホ）に当てはまる適切な語句を
解答欄に記述しなさい。

（1）コンクリートを打ち込む前に，鉄筋は正しい位置に配置されているか，鉄筋のかぶりを正し
く保つために使用箇所に適した材質の（イ）が必要な間隔に配置されているか，組み立て
た鉄筋は打ち込む時に動かないように固定されているか，それぞれについて確認する。

（2）コンクリートの打込みは，目的の位置から遠いところに打ち込むと，目的の位置まで移動さ
せる必要がある。コンクリートは移動させると（ロ）を生じる可能性が高くなるため，目
的の位置にコンクリートをおろして打ち込むことが大切である。
また，コンクリートの打込み中，表面に集まった（ハ）水は，適当な方法で取り除いて
からコンクリートを打ち込まなければならない。

（3）コンクリートをいったん締め固めた後に，（ニ）を適切な時期に行うと，コンクリート
は再び流動性を帯びて，コンクリート中にできた空げきや余剰水が少なくなり，コンクリート
強度及び鉄筋との（ホ）強度の増加や沈みひび割れの防止などに効果がある。","【解答例（参考）】
※この解答例は学習用の参考答案・採点観点です。公式解答ではありません。実際の受験指導や社内基準に合わせて調整してください。

H28 問題3 の記述答案は、設問で求められた個数を守り、次の形でまとめる。

採点観点:
- テーマ: 施工管理
- 施工条件、発生し得る不具合・災害、管理方法、確認記録、是正措置を具体的に書く。
- 理由又は効果を添え、単なる用語列挙にしない。
- 問題文で除外された事項や、同一内容の重複記述は避ける。","記述式,必須問題,教師データ未整備",needs_model_answer,,
Q_H28_04,H28,4,essay,"【問題 4】
コンクリート構造物の品質管理の一環として用いられる非破壊検査に関する次の文章の□
の（イ）〜（ホ）に当てはまる適切な語句を解答欄に記述しなさい。

（1）反発度法は，コンクリート表層の反発度を測定した結果からコンクリート強度を推定できる
方法で，コンクリート表層の反発度は，コンクリートの強度のほかに，コンクリートの
（イ）状態や中性化などの影響を受ける。

（2）打音法は，コンクリート表面をハンマなどにより打撃した際の打撃音をセンサで受信し，コ
ンクリート表層部の（ロ）や空げき箇所などを把握する方法である。

（3）電磁波レーダ法は，比誘電率の異なる物質の境界において電磁波の反射が生じることを利用
するもので，コンクリート中の（ハ）の厚さや（ニ）を調べることができる。

（4）赤外線法は，熱伝導率が異なることを利用して表面（ホ）の分布状況から，（ロ）や
はく離などの箇所を非接触で調べる方法である。","【解答例（参考）】
※この解答例は学習用の参考答案・採点観点です。公式解答ではありません。実際の受験指導や社内基準に合わせて調整してください。

H28 問題4 の記述答案は、設問で求められた個数を守り、次の形でまとめる。

採点観点:
- テーマ: 施工管理
- 施工条件、発生し得る不具合・災害、管理方法、確認記録、是正措置を具体的に書く。
- 理由又は効果を添え、単なる用語列挙にしない。
- 問題文で除外された事項や、同一内容の重複記述は避ける。","記述式,選択問題(1),教師データ未整備",needs_model_answer,,
Q_H28_05,H28,5,essay,"【問題　5】
労働安全衛生規則の定めにより，事業者が行わなければならない土止め支保工の安全管理に関する
次の文章の□の（イ）〜（ヘ）に当てはまる適切な語句を解答欄に記述しなさい。

（1） 組立図
土止め支保工の組立図は，矢板，くい，背板，腹おこし，切りばり等の部材の配置，寸法及び
材質並びに取付けの時期及び（イ）が示されているものでなければならない。

（2） 部材の取付け等
土止め支保工の部材の取付け等については，切りばり及び腹おこしは，脱落を防止するため，
矢板，くい等に確実に取り付け，圧縮材（火打ちを除く。）の継手は，（ロ）継手とする
こと。
切りばり又は火打ちの（ハ）及び切りばりと切りばりとの交さ部は，当て板をあててボ
ルトにより緊結し，溶接により接合する等の方法により堅固なものとすること。

（3） 点検
土止め支保工を設けたときは，その後7日をこえない期間ごと，（ニ）以上の地震の後及
び大雨等により地山が急激に軟弱化するおそれのある事態が生じた後に，次の事項について点
検し，異常を認めたときは，直ちに，補強し，又は補修しなければならない。
一　部材の損傷，変形，腐食，変位及び脱落の有無及び状態
二　切りばりの（ホ）の度合
三　部材の（ヘ），取付け部及び交さ部の状態","【解答例（参考）】
※この解答例は学習用の参考答案・採点観点です。公式解答ではありません。実際の受験指導や社内基準に合わせて調整してください。

H28 問題5 の記述答案は、設問で求められた個数を守り、次の形でまとめる。

採点観点:
- テーマ: 施工管理
- 施工条件、発生し得る不具合・災害、管理方法、確認記録、是正措置を具体的に書く。
- 理由又は効果を添え、単なる用語列挙にしない。
- 問題文で除外された事項や、同一内容の重複記述は避ける。","記述式,選択問題(1),教師データ未整備",needs_model_answer,,
Q_H28_06,H28,6,essay,"【問題6】
建設工事に伴い発生する建設副産物の適正な処理に関し「建設副産物適正処理推進要綱」に定め
られている次の文章の（イ）〜（ホ）に当てはまる適切な語句を解答欄に記述しなさい。
⑴元請業者は，分別解体等の計画に従い，残存物品の搬出の確認を行うとともに，（イ）
に係る分別解体等の適正な実施を確保するために，付着物の除去その他の措置を講じること。
⑵元請業者及び（ロ）は，解体工事及び新築工事等において，（ハ）促進計画，廃棄
物処理計画等に基づき，以下の事項に留意し，工事現場等において分別を行わなければならな
い。
1）工事の施工に当たり，粉じんの飛散等により周辺環境に影響を及ぼさないよう適切な措置
を講じること。
2）一般廃棄物は，産業廃棄物と分別すること。
3）（イ）廃棄物は確実に分別すること。
⑶元請業者は，建設廃棄物の現場内保管にあたっては，周辺の生活環境に影響を及ぼさないよ
う「廃棄物の処理及び清掃に関する法律」に規定する保管基準に従うとともに，分別した廃棄
物の（ニ）ごとに保管しなければならない。
⑷元請業者は，建設廃棄物の排出にあたっては，（ホ）を交付し，最終処分（再生を含
む）が完了したことを確認すること。","【解答例（参考）】
※この解答例は学習用の参考答案・採点観点です。公式解答ではありません。実際の受験指導や社内基準に合わせて調整してください。

H28 問題6 の記述答案は、設問で求められた個数を守り、次の形でまとめる。

採点観点:
- テーマ: 施工管理
- 施工条件、発生し得る不具合・災害、管理方法、確認記録、是正措置を具体的に書く。
- 理由又は効果を添え、単なる用語列挙にしない。
- 問題文で除外された事項や、同一内容の重複記述は避ける。","記述式,選択問題(1),教師データ未整備",needs_model_answer,,
Q_H28_07,H28,7,essay,"【問題　7】
盛土施工中に行う仮排水に関する，下記の(1)，(2)の項目について，それぞれ１つずつ解答欄に記述
しなさい。

(1)　仮排水の目的

(2)　仮排水処理の施工上の留意点","【解答例（参考）】
※この解答例は学習用の参考答案・採点観点です。公式解答ではありません。実際の受験指導や社内基準に合わせて調整してください。

H28 問題7 の記述答案は、設問で求められた個数を守り、次の形でまとめる。

採点観点:
- テーマ: 施工管理
- 施工条件、発生し得る不具合・災害、管理方法、確認記録、是正措置を具体的に書く。
- 理由又は効果を添え、単なる用語列挙にしない。
- 問題文で除外された事項や、同一内容の重複記述は避ける。","記述式,選択問題(1),教師データ未整備",needs_model_answer,,
Q_H28_08,H28,8,essay,"【問題 8】
日平均気温が4 ℃ 以下になることが予想されるときの寒中コンクリートの施工に関する，下記の
(1)，(2)の項目について，それぞれ1つずつ解答欄に記述しなさい。

(1) 初期凍害を防止するための施工上の留意点

(2) 給熱養生の留意点","【解答例（参考）】
※この解答例は学習用の参考答案・採点観点です。公式解答ではありません。実際の受験指導や社内基準に合わせて調整してください。

H28 問題8 の記述答案は、設問で求められた個数を守り、次の形でまとめる。

採点観点:
- テーマ: 施工管理
- 施工条件、発生し得る不具合・災害、管理方法、確認記録、是正措置を具体的に書く。
- 理由又は効果を添え、単なる用語列挙にしない。
- 問題文で除外された事項や、同一内容の重複記述は避ける。","記述式,選択問題(2),教師データ未整備",needs_model_answer,,
Q_H28_09,H28,9,essay,"【問題9】
盛土施工における締固め施工管理に関して，２つの規定方式とそれぞれの施工管理の方法を解答欄
に記述しなさい。","【解答例（参考）】
※この解答例は学習用の参考答案・採点観点です。公式解答ではありません。実際の受験指導や社内基準に合わせて調整してください。

H28 問題9 の記述答案は、設問で求められた個数を守り、次の形でまとめる。

採点観点:
- テーマ: 施工管理
- 施工条件、発生し得る不具合・災害、管理方法、確認記録、是正措置を具体的に書く。
- 理由又は効果を添え、単なる用語列挙にしない。
- 問題文で除外された事項や、同一内容の重複記述は避ける。","記述式,選択問題(2),教師データ未整備",needs_model_answer,,
Q_H28_10,H28,10,essay,"【問題 １０】
下図は，移動式クレーンで仮設材の撤去作業を行っている現場状況である。この現場において安全
管理上必要な労働災害防止対策に関して，「労働安全衛生規則」又は「クレーン等安全規則」に
定められている措置の内容について２つ解答欄に記述しなさい。","【解答例（参考）】
※この解答例は学習用の参考答案・採点観点です。公式解答ではありません。実際の受験指導や社内基準に合わせて調整してください。

H28 問題10 の記述答案は、設問で求められた個数を守り、次の形でまとめる。

採点観点:
- テーマ: 施工管理
- 施工条件、発生し得る不具合・災害、管理方法、確認記録、是正措置を具体的に書く。
- 理由又は効果を添え、単なる用語列挙にしない。
- 問題文で除外された事項や、同一内容の重複記述は避ける。","記述式,選択問題(2),教師データ未整備,図表必要",needs_model_answer,true,"[""https://drive.google.com/thumbnail?id=1-m2XGc9Cz6CHj6vAWcuW2Ez_JPp8XpBO&sz=w2000""]"
